Tree number,Date,Collected by ,Degrees,Minutes,Seconds,Coordinates (North) Degrees,Degrees,Minutes,Seconds,Coordinates (West) Degrees,Species,Scientific Name,DBH (cm),Notes ,DBH of second stem (cm),Distatance away from tree (m),Clinometer Reading (top of tree),Clinometer Reading (bottom of tree),Tree hight (meters),Tree Condition,Tree exposure to sunlight,Other notes,Phtographed
1,2/27/16,Adam Hull and Company,39.4309,0,0,39.4309,77.8055,0,0,77.8055,Sugar Maple,Acer saccharum,71,,,40,26,0,19.50930354,Good,Full,cabling system an branch overhanging road; leaning toward road,X
2,2/27/16,Adam Hull and Company,39,25,51,39.43083333,77,48,20,77.80555556,Dogwood,Cornus,17,,,20,24,3,7.856418121,Fair,Partial,"Two dead branches requiring pruning, no danger",X
3,2/27/16,Adam Hull and Company,39,25,51,39.43083333,77,48,20,77.80555556,Dogwood,Cornus,18,,,15,27,0,7.642881742,Fair-poor,Shaded,"Dead Branches, Shaded by building",X
4,2/27/16,Adam Hull and Company,39,25,51,39.43083333,77,48,18,77.805,Sycamore,Platanus occidentalis,11.2,,,8.9,59,-12,16.70384079,Good,Partial,"Height may be off, wall in line way, hanging widow makers, Prune off lower branches craise the crown",X
5,2/27/16,Adam Hull and Company,39,25,51,39.43083333,77,48,20,77.80555556,Dogwood,Cornus,14,,,14,20,4,4.116607913,Fair-poor,Partial- shaded,Few dead Branches,X
6,2/27/16,Adam Hull and Company,39,25,51,39.43083333,77,48,19,77.80527778,Mulberry,Morus alba,5.5,,,13,9,4,1.149949169,Good,Partial,"Invasive tree, possible removal",X
7,2/27/16,Adam Hull and Company,39,25,56,39.43222222,77,48,18,77.805,Norway Spruce,Picea abies,11,,,20,11,-2,4.586021573,Good,Full,"Sad looking, something (pest) eating it",X
8,2/27/16,Adam Hull and Company,39,25,53,39.43138889,77,48,17,77.80472222,Norway Spruce,Picea abies,42.5,,,30,33,0,19.4822278,Fair,Partial,too close to other trees,X
9,2/27/16,Adam Hull and Company,39,25,53,39.43138889,77,48,17,77.80472222,Norway Spruce,Picea abies,40,,,30,33,0,19.4822278,Good,Full,Wood pecker holes,X
10,2/27/16,Adam Hull and Company,39,25,52,39.43111111,77,48,18,77.805,Eastern Redbud,Cercis canadensis,5,,,18,14,2,3.8593302,Good,Full,Cracked bark might indicate stress,X
11,4/2/16,"Jaysen, Adam, Tim, Melissa",39,25,52.7,39.43130556,77,48,16.1,77.80447222,Eastern Redbud,Cercis canadensis,9,,,20,12,5,2.501357963,Good,Partial,Some lower branches are not Flowering,X
12,4/2/16,"Jaysen, Adam, Tim, Melissa",39,25,52.8,39.43133333,77,48,15.9,77.80441667,White Ash,Fraxinus americana,116.5,,,25,44,2,23.26920013,Good,Full,"Hard to see, but there is one large, dead branch. Shading a corner of White hall",X
13,4/2/16,"Jaysen, Adam, Tim, Melissa",39,25,52.9,39.43136111,77,48,16.8,77.80466667,Eastern Redbud,Cercis canadensis,5.4,,,20,9,-1,3.516790105,Good,Shaded,Has some bark stripping on one side,X
14,4/2/16,"Jaysen, Adam, Tim, Melissa",39,25,51.9,39.43108333,77,48,16.1,77.80447222,Black Maple,Prunus serotinia,24,,,12,38,-8,11.06191753,Good,Partial,"Ivy, cable on side. Taller tree on one side blocks light",X
15,4/2/16,"Jaysen, Adam, Tim, Melissa",39,25,52.1,39.43113889,77,48,16.9,77.80469444,Hackberry,Celtis occidentalis,41.4,,,25,39,-4,21.99277113,Fair,Partial,Dark marks along one side. Very close to a Norway Spruce,X
16,4/2/16,"Jaysen, Adam, Tim, Melissa",39,25,51.7,39.43102778,77,48,16.2,77.8045,Norway Spruce,Picea abies,27.4,,,25,34,-3,18.1729074,Good,Partial,Ivy along bottom. Sharing Space with tree 15.,X
17,4/2/16,"Jaysen, Adam, Tim, Melissa",39,25,51.6,39.431,77,48,16.3,77.80452778,Norway Spruce,Picea abies,24.5,,,22,33,3,13.13399591,Poor,Partial- shaded,Extensive foreign ivy. Covers entire tree Lots of dead Branches,X
18,4/2/16,"Jaysen, Adam, Tim, Melissa",39,25,51.7,39.43102778,77,48,16.5,77.80458333,Norway Spruce,Picea abies,38.3,,,24,30,3,12.59861976,Poor,Partial,Thick foreign ivy and lots of it.,X
19,4/2/16,"Jaysen, Adam, Tim, Melissa",39,25,52.3,39.43119444,77,48,16.6,77.80461111,Sugar Maple,Acer saccharum,52.9,,,25,38,4,17.78397036,Poor,Full,Peeling bark,X
20,4/2/16,"Jaysen, Adam, Tim, Melissa",39,25,52.5,39.43125,77,48,16.8,77.80466667,Syberian elm,Ulmus pumila,63.2,,,25,37,5,16.65163466,Good,Partial,"Right next to a build, would be hard to cut down",X
